wj60,wj60,,,,,,,,,,
m,f,,Anova: Single Factor,,,,,,,,
35000.00,67000.00,,,,,,,,,,
70000.00,35918.00,,,,,,,,,,
60000.00,16830.00,,,,,,,,,,
60000.00,55000.00,,,,,,,,,,
,40000.00,,,,,,,,,,
,82000.00,,,,,,,,,,
,21300.00,,,,,,,,,,
,18000.00,,,,,,,,,,
,19828.00,,,,,,,,,,
,20000.00,,,,,,,,,,
,75000.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,47500.00,,,,,,,,,,
,8000.00,,,,,,,,,,
,30000.00,,,,,,,,,,
,42500.00,,,,,,,,,,
,20000.00,,,,,,,,,,
,100000.00,,,,,,,,,,
,25300.00,,,,,,,,,,
,26000.00,,,,,,,,,,
,17900.00,,,,,,,,,,
,18000.00,,,,,,,,,,
,235000.00,,,,,,,,,,
,23000.00,,,,,,,,,,
,61000.00,,,,,,,,,,
,42200.00,,,,,,,,,,
,19900.00,,,,,,,,,,
,19000.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,45000.00,,,,,,,,,,
,22700.00,,,,,,,,,,
,39000.00,,,,,,,,,,
,18960.00,,,,,,,,,,
,18600.00,,,,,,,,,,
,19500.00,,,,,,,,,,
,32050.00,,,,,,,,,,
,25000.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,110000.00,,,,,,,,,,
,50000.00,,,,,,,,,,
,32000.00,,,,,,,,,,
,50000.00,,,,,,,,,,
,20000.00,,,,,,,,,,
,20000.00,,,,,,,,,,
,6300.00,,,,,,,,,,
,11600.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,50000.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,18700.00,,,,,,,,,,
,41000.00,,,,,,,,,,
,20400.00,,,,,,,,,,
,23000.00,,,,,,,,,,
,45000.00,,,,,,,,,,
,99000.00,,,,,,,,,,
,100000.00,,,,,,,,,,
,20000.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,77000.00,,,,,,,,,,
,21500.00,,,,,,,,,,
,21600.00,,,,,,,,,,
,21200.00,,,,,,,,,,
,45000.00,,,,,,,,,,
,70000.00,,,,,,,,,,
,80000.00,,,,,,,,,,
,30000.00,,,,,,,,,,
,23000.00,,,,,,,,,,
,31000.00,,,,,,,,,,
,45000.00,,,,,,,,,,
,15000.00,,,,,,,,,,
,95000.00,,,,,,,,,,
,30000.00,,,,,,,,,,
,50000.00,,,,,,,,,,
,40000.00,,,,,,,,,,
,68000.00,,,,,,,,,,
,13887.00,,,,,,,,,,
,25000.00,,,,,,,,,,
,17500.00,,,,,,,,,,
,30000.00,,,,,,,,,,
,25000.00,,,,,,,,,,
,19000.00,,,,,,,,,,
,20000.00,,,,,,,,,,
,6200.00,,,,,,,,,,
